pixel_num_ratio: 3.358600   ;   ouput_choice_idx: 0
pixel_num_ratio: 16.129000   ;   ouput_choice_idx: 1
pixel_num_ratio: 2.107167   ;   ouput_choice_idx: 2
pixel_num_ratio: 15.625000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.930333   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.070400   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.413500   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.863000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.245000   ;   ouput_choice_idx: 2
pixel_num_ratio: 7.080500   ;   ouput_choice_idx: 2
pixel_num_ratio: 3.191333   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.184000   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.025000   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.386000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.898000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.691000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.380750   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.364000   ;   ouput_choice_idx: 2
pixel_num_ratio: 8.058000   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.935000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.558571   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.553333   ;   ouput_choice_idx: 2
pixel_num_ratio: 10.304000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.195000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.645333   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.612000   ;   ouput_choice_idx: 0
pixel_num_ratio: 8.165000   ;   ouput_choice_idx: 0
pixel_num_ratio: 6.525000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.524000   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.189000   ;   ouput_choice_idx: 1
pixel_num_ratio: 6.561000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.336750   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.628500   ;   ouput_choice_idx: 0
pixel_num_ratio: 10.653500   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.212000   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.784000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.662500   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.160400   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.302000   ;   ouput_choice_idx: 2
pixel_num_ratio: 3.344000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.349727   ;   ouput_choice_idx: 2
pixel_num_ratio: 5.304000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.228105   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.744000   ;   ouput_choice_idx: 2
pixel_num_ratio: 5.373500   ;   ouput_choice_idx: 2
pixel_num_ratio: 14.351000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.439000   ;   ouput_choice_idx: 1
pixel_num_ratio: 6.210000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.521000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.156000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.445667   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.786000   ;   ouput_choice_idx: 1
pixel_num_ratio: 14.097000   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.120000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.195500   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.813000   ;   ouput_choice_idx: 2
pixel_num_ratio: 10.541000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.451500   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.336000   ;   ouput_choice_idx: 1
pixel_num_ratio: 5.184000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.516333   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.898000   ;   ouput_choice_idx: 1
pixel_num_ratio: 7.920000   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.840000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.487091   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.520000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.160000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.539500   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.212500   ;   ouput_choice_idx: 0
pixel_num_ratio: 10.277500   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.524500   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.464000   ;   ouput_choice_idx: 1
pixel_num_ratio: 3.948000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.104000   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.600000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.521333   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.119800   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.250500   ;   ouput_choice_idx: 1
pixel_num_ratio: 8.064000   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.980000   ;   ouput_choice_idx: 1
pixel_num_ratio: 3.085333   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.212000   ;   ouput_choice_idx: 0
pixel_num_ratio: 6.271500   ;   ouput_choice_idx: 1
